status,status_fail,response_time_ms,http_status_code,hour,day,is_weekend,rolling_z_score,rt_percentile,rt_rolling_std,fail_diff,rt_diff,rt_drift,is_monolith,service_median_rt,rt_relative
1,0,435.0,200,2,4,0,1.4672673943346308,0.6322202166064982,43.48218025812382,0.0,91.0,-209.2,1,358.0,1.2150837649417943
1,0,750.0,200,2,4,0,1.733082290024323,0.8167870036101083,175.2946091584107,0.0,315.0,-130.09999999999997,1,358.0,2.094972008520335
1,0,1446.0,200,2,4,0,1.6773747924896085,0.9657039711191335,461.79302723189744,0.0,696.0,48.69999999999993,1,358.0,4.039106032427206
1,0,580.0,200,2,4,0,-0.2986209181999948,0.7472924187725631,438.68325703176777,0.0,-866.0,83.29999999999995,1,358.0,1.6201116865890592
1,0,1827.0,200,2,4,0,1.3653437403734374,0.9828519855595668,600.1418998870183,0.0,1247.0,309.1,1,358.0,5.103351812755537
1,0,1664.0,200,2,4,0,0.7369890226824333,0.9774368231046932,557.1317617942815,0.0,-163.0,488.5000000000001,1,358.0,4.648044562903784
1,0,567.0,200,2,4,0,-1.0782857483158086,0.7373646209386282,602.6231824282899,0.0,-1097.0,442.69999999999993,1,358.0,1.5837988384413733
1,0,369.0,200,2,4,0,-0.9207705349463008,0.523014440433213,686.8160598005844,0.0,-198.0,227.39999999999998,1,358.0,1.0307262281920049
1,0,541.0,200,3,4,0,-0.6531100593892002,0.7148014440433214,692.991919144805,0.0,172.0,317.0,1,358.0,1.5111731421460017
1,0,455.0,200,3,4,0,-0.4948900234714689,0.6552346570397112,533.8559730863747,0.0,-86.0,38.0,1,358.0,1.2709496851690032
1,0,373.0,200,3,4,0,-0.9561827835714254,0.529783393501805,92.03260291874801,0.0,-82.0,-217.45000000000005,1,358.0,1.0418994122374468
1,0,395.0,200,3,4,0,-0.43525999643653707,0.5753610108303249,72.60027548157066,0.0,22.0,-251.44999999999993,1,358.0,1.1033519244873764
1,0,1794.0,200,3,4,0,1.7785996449045014,0.9819494584837545,608.568648551665,0.0,1399.0,-36.85000000000002,1,358.0,5.011173044380642
1,0,2485.0,200,3,4,0,1.412886698743794,0.9909747292418772,979.9794895812871,0.0,691.0,257.35000000000014,1,358.0,6.941340588230711
